Time,Resistance(Ohm)
17:40:57.296,Short Circuit (0 ohm)
17:40:57.798,Short Circuit (0 ohm)
17:40:58.300,Short Circuit (0 ohm)
17:40:58.802,Short Circuit (0 ohm)
17:40:59.304,Short Circuit (0 ohm)
17:40:59.806,Short Circuit (0 ohm)
17:41:00.308,Short Circuit (0 ohm)
17:41:00.810,Short Circuit (0 ohm)
17:41:01.311,Short Circuit (0 ohm)
17:41:01.813,Short Circuit (0 ohm)
17:41:02.315,Short Circuit (0 ohm)
17:41:02.818,Short Circuit (0 ohm)
17:41:03.320,Short Circuit (0 ohm)
17:41:03.822,Short Circuit (0 ohm)
17:41:04.324,Short Circuit (0 ohm)
17:41:04.826,Short Circuit (0 ohm)
17:41:05.328,Short Circuit (0 ohm)
17:41:05.830,Short Circuit (0 ohm)
17:41:06.332,Short Circuit (0 ohm)
17:41:06.834,Short Circuit (0 ohm)
17:41:07.336,Short Circuit (0 ohm)
17:41:07.838,Short Circuit (0 ohm)
17:41:08.340,Short Circuit (0 ohm)
17:41:08.842,Short Circuit (0 ohm)
17:41:09.344,Short Circuit (0 ohm)
17:41:09.846,Short Circuit (0 ohm)
17:41:10.348,Short Circuit (0 ohm)
17:41:10.850,Short Circuit (0 ohm)
